iter	Logloss
0	0.5963948786
1	0.5303775235
2	0.4653616663
3	0.4247070555
4	0.3928689347
5	0.3669788981
6	0.3465124595
7	0.3315435064
8	0.3174561914
9	0.2922003319
10	0.2809772173
11	0.2702873824
12	0.2612230918
13	0.2543345195
14	0.2503968649
15	0.2463499518
16	0.2391637141
17	0.2353692342
18	0.2320245906
19	0.2287813049
20	0.2222001598
21	0.2196607848
22	0.2164912398
23	0.214197027
24	0.2121790288
25	0.210404746
26	0.2075364836
27	0.2056222099
28	0.2025968064
29	0.1986387761
30	0.1966265992
31	0.1938108277
32	0.1923571296
33	0.1910895886
34	0.1888751899
35	0.1863168383
36	0.1844334946
37	0.1829782203
38	0.1784777182
39	0.1763387134
40	0.1728993638
41	0.1718633995
42	0.1708866753
43	0.1702508059
44	0.1693618875
45	0.1674237525
46	0.1658563605
47	0.1648778792
48	0.1641485936
49	0.1616946249
50	0.1609376258
51	0.1593536515
52	0.1584308501
53	0.1576857574
54	0.1572781037
55	0.1549944315
56	0.1532173333
57	0.1515928695
58	0.1511381813
59	0.150170016
60	0.1486047603
61	0.1482361059
62	0.1467054138
63	0.1455749168
64	0.1447856748
65	0.1440457575
66	0.1429343566
67	0.1421858733
68	0.1417069043
69	0.1413705237
70	0.1406251189
71	0.1400506516
72	0.1396038263
73	0.1388567165
74	0.138063011
75	0.1371488697
76	0.1359622046
77	0.1349444052
78	0.1343009036
79	0.1338569746
80	0.1328716452
81	0.1327713458
82	0.1313795799
83	0.1300840421
84	0.1297829465
85	0.1288330801
86	0.1281658169
87	0.1268823497
88	0.1261507532
89	0.1253678622
90	0.1247067288
91	0.124174364
92	0.1236822459
93	0.1223317638
94	0.1215402114
95	0.120978895
96	0.1205844095
97	0.120264632
98	0.1190619229
99	0.1183076666
