iter	Passed	Remaining
0	222	22028
1	466	22844
2	736	23813
3	996	23925
4	1295	24611
5	1544	24190
6	1764	23439
7	1954	22471
8	2118	21419
9	2305	20750
10	2487	20126
11	2667	19560
12	2857	19126
13	3042	18692
14	3272	18543
15	3496	18356
16	3682	17979
17	3876	17659
18	4044	17242
19	4219	16877
20	4405	16573
21	4581	16242
22	4795	16052
23	4956	15695
24	5122	15367
25	5339	15197
26	5570	15062
27	5753	14794
28	5943	14550
29	6143	14334
30	6341	14114
31	6605	14037
32	6815	13837
33	6994	13576
34	7188	13349
35	7386	13130
36	7566	12883
37	7738	12625
38	8004	12519
39	8200	12300
40	8423	12121
41	8617	11900
42	8800	11665
43	8974	11422
44	9134	11164
45	9316	10936
46	9518	10733
47	9717	10527
48	9870	10273
49	10045	10045
50	10224	9823
51	10403	9603
52	10555	9360
53	10723	9134
54	10896	8915
55	11104	8724
56	11319	8539
57	11555	8367
58	11761	8173
59	11925	7950
60	12105	7739
61	12287	7530
62	12484	7332
63	12665	7124
64	12792	6888
65	12919	6655
66	13022	6413
67	13167	6196
68	13296	5973
69	13412	5748
70	13531	5527
71	13637	5303
72	13760	5089
73	13897	4883
74	14015	4671
75	14115	4457
76	14224	4248
77	14359	4050
78	14461	3844
79	14567	3641
80	14791	3469
81	14889	3268
82	14997	3071
83	15118	2879
84	15224	2686
85	15350	2498
86	15462	2310
87	15584	2125
88	15732	1944
89	15835	1759
90	15972	1579
91	16113	1401
92	16223	1221
93	16381	1045
94	16515	869
95	16640	693
96	16769	518
97	16867	344
98	16955	171
99	17043	0

