trial_number,params,pr_auc_mean,pr_auc_std,training_time,objective_value
0,"{'n_estimators': 218, 'learning_rate': 0.2536999076681772, 'num_leaves': 76, 'max_depth': 9, 'feature_fraction': 0.4936111842654619, 'bagging_fraction': 0.49359671220172163, 'bagging_freq': 1, 'min_data_in_leaf': 88, 'lambda_l1': 6.011150117432088, 'lambda_l2': 7.080725777960454, 'min_split_gain': 0.020584494295802447, 'min_child_weight': 70.72114131472235}",0.5193330601785539,0.008332207376319872,16.054099559783936,0.5193330601785539
1,"{'n_estimators': 425, 'learning_rate': 0.020589728197687916, 'num_leaves': 26, 'max_depth': 2, 'feature_fraction': 0.5825453457757226, 'bagging_fraction': 0.7148538589793427, 'bagging_freq': 5, 'min_data_in_leaf': 32, 'lambda_l1': 6.118528947223795, 'lambda_l2': 1.3949386065204183, 'min_split_gain': 0.29214464853521815, 'min_child_weight': 0.06789053271698488}",0.48240609831607356,0.01813672241799122,8.098054647445679,0.48240609831607356
2,"{'n_estimators': 255, 'learning_rate': 0.14447746112718687, 'num_leaves': 28, 'max_depth': 7, 'feature_fraction': 0.7554487413172255, 'bagging_fraction': 0.42787024763199866, 'bagging_freq': 7, 'min_data_in_leaf': 21, 'lambda_l1': 0.6505159298527952, 'lambda_l2': 9.488855372533333, 'min_split_gain': 0.9656320330745594, 'min_child_weight': 11.015056790269638}",0.5683381488247597,0.007052193873300896,9.531084060668945,0.5683381488247597
3,"{'n_estimators': 187, 'learning_rate': 0.013940346079873234, 'num_leaves': 72, 'max_depth': 6, 'feature_fraction': 0.47322294090686734, 'bagging_fraction': 0.6971061460667621, 'bagging_freq': 1, 'min_data_in_leaf': 92, 'lambda_l1': 2.587799816000169, 'lambda_l2': 6.62522284353982, 'min_split_gain': 0.31171107608941095, 'min_child_weight': 0.39841905944346884}",0.49135205135176946,0.007521691813159599,8.396097421646118,0.49135205135176946
4,"{'n_estimators': 296, 'learning_rate': 0.01875220945578641, 'num_leaves': 98, 'max_depth': 12, 'feature_fraction': 0.9636993649385135, 'bagging_fraction': 0.9368964102565893, 'bagging_freq': 6, 'min_data_in_leaf': 93, 'lambda_l1': 0.884925020519195, 'lambda_l2': 1.959828624191452, 'min_split_gain': 0.045227288910538066, 'min_child_weight': 0.04233032996527596}",0.5876616573265155,0.010464513202976271,24.59880256652832,0.5876616573265155
5,"{'n_estimators': 225, 'learning_rate': 0.02516607127550297, 'num_leaves': 85, 'max_depth': 5, 'feature_fraction': 0.5685607058124285, 'bagging_fraction': 0.7256176498949491, 'bagging_freq': 2, 'min_data_in_leaf': 82, 'lambda_l1': 0.7455064367977082, 'lambda_l2': 9.868869366005173, 'min_split_gain': 0.7722447692966574, 'min_child_weight': 0.009853225172032555}",0.5499492981567546,0.010115925133770598,9.877614259719849,0.5499492981567546
6,"{'n_estimators': 52, 'learning_rate': 0.1601531217136121, 'num_leaves': 74, 'max_depth': 11, 'feature_fraction': 0.8627622080115674, 'bagging_fraction': 0.44442679104045424, 'bagging_freq': 4, 'min_data_in_leaf': 16, 'lambda_l1': 8.631034258755935, 'lambda_l2': 6.232981268275579, 'min_split_gain': 0.3308980248526492, 'min_child_weight': 0.002078699690689777}",0.555294315997105,0.014783556410240645,6.072547435760498,0.555294315997105
7,"{'n_estimators': 190, 'learning_rate': 0.030222834756467344, 'num_leaves': 76, 'max_depth': 9, 'feature_fraction': 0.932327645545796, 'bagging_fraction': 0.6833289550971695, 'bagging_freq': 2, 'min_data_in_leaf': 73, 'lambda_l1': 7.607850486168974, 'lambda_l2': 5.612771975694963, 'min_split_gain': 0.770967179954561, 'min_child_weight': 0.2944272359149679}",0.566541475156086,0.009418141643496724,9.813177108764648,0.566541475156086
8,"{'n_estimators': 285, 'learning_rate': 0.042808491617570936, 'num_leaves': 12, 'max_depth': 0, 'feature_fraction': 0.4188575114120406, 'bagging_fraction': 0.7818462467582683, 'bagging_freq': 4, 'min_data_in_leaf': 53, 'lambda_l1': 9.07566473926093, 'lambda_l2': 2.4929222914887497, 'min_split_gain': 0.41038292303562973, 'min_child_weight': 5.994537656798815}",0.5533863408529475,0.007593916169670233,9.383166313171387,0.5533863408529475
9,"{'n_estimators': 153, 'learning_rate': 0.012992976740520353, 'num_leaves': 36, 'max_depth': 1, 'feature_fraction': 0.9578185914055438, 'bagging_fraction': 0.8848722277386502, 'bagging_freq': 7, 'min_data_in_leaf': 88, 'lambda_l1': 8.036720768991145, 'lambda_l2': 1.8657005888603584, 'min_split_gain': 0.8925589984899778, 'min_child_weight': 0.49740621749684094}",0.2644065644977223,0.02238042015276407,3.9703662395477295,0.2644065644977223
